"time","Gyroscope x","Gyroscope y","Gyroscope z","abs Gyroscope"
2.580940962E2,1.976334900E-1,-6.082881093E-1,1.073148027E-1,6.485290180E-1
2.582944435E2,-2.657930851E-1,5.836748481E-1,2.960630059E-1,7.063820467E-1
2.584947905E2,3.044188917E-1,-4.969225526E-1,1.426595896E-1,5.999622016E-1
2.586951375E2,7.724101543E-1,9.381396174E-1,5.036112294E-2,1.216248178E0
2.588954845E2,-4.136030674E-1,-3.950638175E-1,-3.940546811E-1,6.945660580E-1
2.590958315E2,6.972364783E-1,9.748188257E-1,3.495065272E-1,1.248425113E0
2.592961780E2,-9.620641917E-2,4.003089964E-1,4.059724212E-1,5.782011540E-1
2.594965240E2,-4.339200854E-1,-2.057919949E-1,-2.609452903E-1,5.465614606E-1
2.596968710E2,-2.087806016E-1,-2.912501991E-1,-1.759570241E-1,3.992203557E-1
2.598972180E2,-3.458262980E-1,5.490102172E-1,-1.411297731E-2,6.490047944E-1
2.600975650E2,4.490146637E-1,4.962043762E-1,5.845922977E-2,6.717517642E-1
2.602979111E2,3.155998588E-1,5.640137196E-1,2.959833741E-1,7.108592719E-1
2.604982581E2,-2.086193711E-1,2.814182043E-1,6.653057933E-1,7.518976302E-1
2.606986051E2,-1.298757553E0,1.071717143E0,-1.729721665E0,2.413977186E0
2.608989511E2,2.456977069E-1,-1.087514639E0,1.988173127E-1,1.132512153E0
2.610992981E2,-6.499607563E-1,2.434034348E-1,-4.480765462E-1,8.261154932E-1
2.612996453E2,8.852409124E-1,-2.127418816E-1,-2.751715779E-1,9.511203807E-1
2.614999913E2,-2.349279672E-1,6.704763174E-1,7.863392234E-1,1.059744788E0
2.617003383E2,3.014873564E-1,1.291522384E-1,1.279508322E-1,3.520601401E-1
2.619006843E2,-4.547928572E-1,2.219517082E-1,-8.614220656E-3,5.061356622E-1
2.621010313E2,1.358413547E-1,-8.322126865E-1,2.218686938E-1,8.719269159E-1
2.623013770E2,-8.496226072E-1,6.638720036E-1,1.508801430E-1,1.088737539E0
2.625017240E2,-5.439562201E-1,5.567265749E-1,1.306560785E-1,7.892425859E-1
2.627020700E2,2.271286026E-2,-9.812061191E-1,-1.736834645E-1,9.967182490E-1
2.629024160E2,-1.931539923E-2,9.865365624E-1,-2.286852449E-1,1.012879270E0
2.631027630E2,-2.303647697E-1,1.104784310E-1,-3.230071068E-1,4.118337066E-1
2.633031094E2,5.244336724E-1,2.937253416E-1,6.179059744E-1,8.620400491E-1
2.635034554E2,-1.862131059E-1,5.771029368E-2,3.905596733E-1,4.365119211E-1
2.637038014E2,4.080394208E-1,-9.511963129E-1,-1.828849912E-1,1.051055429E0
2.639041484E2,9.997177124E-2,-1.924884915E-1,-6.293347478E-1,6.656638785E-1
2.641044944E2,-4.093352556E-1,-1.533941459E-2,-3.336211443E-1,5.282932113E-1
2.643048408E2,-9.190467000E-1,1.017513037E0,-2.347717285E-1,1.391077777E0
2.645051868E2,3.855371475E-1,8.600956798E-1,2.746269405E-1,9.817450926E-1
2.647055328E2,-3.719380870E-2,-2.084350400E-2,-1.184805017E-2,4.425163678E-2
2.649058788E2,-1.162606716E0,7.244574428E-1,-7.154067159E-1,1.545412480E0
2.651062248E2,-1.701959521E-1,-5.662691593E-1,-4.359850660E-2,5.928981807E-1
2.653065707E2,-4.019318819E-1,-6.275771260E-1,-5.515277758E-2,7.472911853E-1
2.655069167E2,-1.251734979E-2,-5.907480046E-2,2.611978650E-1,2.680873753E-1
2.657072617E2,-1.846695542E-1,1.168710709E0,2.252652198E-1,1.204463359E0
2.659076077E2,-2.290634960E-1,-1.448946595E-1,-1.388820887E0,1.415022262E0
2.661079537E2,-9.733304977E-1,1.104668260E0,4.958296120E-1,1.553547948E0
